,gk,jenis,daerah,Cluster
0,293697.0,MAKANAN,PERKOTAAN,2
1,302128.0,MAKANAN,PERKOTAAN,2
2,306243.0,MAKANAN,PERKOTAAN,2
3,319768.0,MAKANAN,PERKOTAAN,2
4,297479.0,MAKANAN,PERDESAAN,3
5,306737.0,MAKANAN,PERDESAAN,3
6,315697.0,MAKANAN,PERDESAAN,3
7,324854.0,MAKANAN,PERDESAAN,3
8,296406.0,MAKANAN,PERDESAANPERKOTAAN,3
9,305428.0,MAKANAN,PERDESAANPERKOTAAN,3
10,312801.0,MAKANAN,PERDESAANPERKOTAAN,3
11,323548.0,MAKANAN,PERDESAANPERKOTAAN,3
12,330153.0,MAKANAN,PERKOTAAN,2
13,347811.0,MAKANAN,PERKOTAAN,2
14,351777.0,MAKANAN,PERKOTAAN,2
15,360318.0,MAKANAN,PERKOTAAN,2
16,331267.0,MAKANAN,PERDESAAN,3
17,346070.0,MAKANAN,PERDESAAN,3
18,353915.0,MAKANAN,PERDESAAN,3
19,362463.0,MAKANAN,PERDESAAN,3
20,330958.0,MAKANAN,PERDESAANPERKOTAAN,3
21,346552.0,MAKANAN,PERDESAANPERKOTAAN,3
22,353291.0,MAKANAN,PERDESAANPERKOTAAN,3
23,361835.0,MAKANAN,PERDESAANPERKOTAAN,3
24,364040.0,MAKANAN,PERKOTAAN,2
25,377620.0,MAKANAN,PERKOTAAN,2
26,398026.0,MAKANAN,PERKOTAAN,2
27,399504.0,MAKANAN,PERKOTAAN,2
28,372626.0,MAKANAN,PERDESAAN,3
29,387367.0,MAKANAN,PERDESAAN,3
30,396615.0,MAKANAN,PERDESAAN,3
31,397816.0,MAKANAN,PERDESAAN,3
32,370093.0,MAKANAN,PERDESAANPERKOTAAN,3
33,384381.0,MAKANAN,PERDESAANPERKOTAAN,3
34,397032.0,MAKANAN,PERDESAANPERKOTAAN,3
35,398316.0,MAKANAN,PERDESAANPERKOTAAN,3
36,418047.0,MAKANAN,PERKOTAAN,2
37,426126.0,MAKANAN,PERKOTAAN,2
38,448528.0,MAKANAN,PERKOTAAN,2
39,481276.00000000006,MAKANAN,PERKOTAAN,2
40,406917.0,MAKANAN,PERDESAAN,3
41,414737.99999999994,MAKANAN,PERDESAAN,3
42,434104.0,MAKANAN,PERDESAAN,3
43,462137.99999999994,MAKANAN,PERDESAAN,3
44,410420.0,MAKANAN,PERDESAANPERKOTAAN,3
